invoiceId,invoiceAmount,invoicePaidAmount,invoiceBalance,invoiceDiscountRate,invoiceDiscountAmount,invoiceProfit,invoicePaidBy,invoicePaidStatus,invoiceDate
1,1596,1596,0,5,84,135,Cash,Full Paid,8/5/2018 5:09
2,1790.46,1790,0.46,3,55.38,191.2048,Cash,Full Paid,8/5/2018 5:13
3,1718.66,1718.66,0,6.5,119.48,122.6609,Cash,Full Paid,8/5/2018 5:16
4,80,80,0,0,0,10.5,Cash,Full Paid,8/5/2018 5:16
5,28.26,28.26,0,0,0,3.68,Cash,Full Paid,8/5/2018 5:17
6,120,120,0,0,0,17,Cash,Full Paid,8/5/2018 5:18
7,1317.5,1317.5,0,3,40.75,151.1525,Cash,Full Paid,8/5/2018 5:19
8,2639.4144,0,2516.91,2,53.8656,279.1544,Credit,Not Paid,8/5/2018 5:22
9,108,108,0,0,0,14.4,Cash,Full Paid,8/5/2018 5:25
10,763.47,763.47,0,5,40.18,69.4075,Cash,Full Paid,8/5/2018 5:28
11,369.36,0,369.36,5,19.44,31.26,Credit,Not Paid,8/5/2018 5:32
12,238.45,238.45,0,5,12.55,19.45,Cash,Full Paid,8/5/2018 5:48
13,170,170,0,0,0,69.5,Cash,Full Paid,8/5/2018 5:52
14,70,70,0,0,0,7.5,Cash,Full Paid,8/5/2018 5:56
15,99.75,99.75,0,0,0,13.65,Cash,Full Paid,8/5/2018 6:02
16,30,30,0,0,0,3.75,Cash,Full Paid,8/5/2018 6:07
17,856.9,856.9,0,5,45.1,74.7,Cash,Full Paid,8/5/2018 6:13
18,340.44,340,0.44,1,3.44,42.1012,Cash,Full Paid,8/5/2018 6:15
19,279.36,279.36,0,3,8.64,28.92,Cash,Full Paid,8/5/2018 6:19
20,120,0,120,0,0,16.68,Credit,Not Paid,8/5/2018 6:22
21,225.4,225,0.4,2,4.6,27.24,Credit,Not Paid,8/5/2018 6:27
22,1552,1552,0,3,48,121.85,Cash,Full Paid,8/5/2018 6:32
23,1100,110,990,0,0,60,Cash,Full Paid,8/5/2018 6:34
24,225,220,5,0,0,29.77,Cash,Full Paid,8/5/2018 6:34
25,579.09,575,4.09,3,17.91,60.09,Cash,Full Paid,8/5/2018 9:31
26,1567.36,1567.36,0,5,82.49,141.4575,Cash,Full Paid,8/5/2018 6:41
27,474.53,474.53,0,5,24.98,38.925,Cash,Full Paid,8/5/2018 6:44
28,321,320,1,0,0,68.03,Cash,Full Paid,8/5/2018 6:50
29,70.34,70.34,0,2,1.44,6.6044,Cash,Full Paid,8/5/2018 6:58
30,115.43,115,0.43,1,1.17,14.034,Cash,Full Paid,8/5/2018 7:02
31,318.5,318.5,0,2,6.5,36,Cash,Full Paid,8/5/2018 7:12
32,41.5,41.5,0,0,0,7.31,Cash,Full Paid,8/5/2018 7:16
33,18,18,0,0,0,2.34,Cash,Full Paid,8/5/2018 7:17
34,120.29,120.29,0,4,5.01,11.288,Cash,Full Paid,8/5/2018 7:18
35,210.93,210,0.93,3,6.52,21.4265,Cash,Full Paid,8/5/2018 7:21
36,59.72,59.72,0,0,0,5.81,Cash,Full Paid,8/5/2018 7:23
37,179.26,179.26,0,3,5.54,18.656,Cash,Full Paid,8/5/2018 7:28
38,1002.98,1000,2.98,2.5,25.72,105.7325,Cash,Full Paid,8/5/2018 7:28
39,170,170,0,0,0,24.53,Cash,Full Paid,8/5/2018 7:32
40,229.31,229.31,0,3,7.09,21.858,Cash,Full Paid,8/5/2018 7:36
41,1086.8,1080,6.8,5,57.2,90.7,Cash,Full Paid,8/5/2018 9:55
42,90,90,0,0,0,12.52,Cash,Full Paid,8/5/2018 7:47
43,230.3,230.3,0,2,4.7,24.12,Cash,Full Paid,8/5/2018 7:48
44,180,180,0,4,7.5,18.4,Cash,Full Paid,8/5/2018 7:53
45,550.08,550.08,0,4,22.92,50.08,Cash,Full Paid,8/5/2018 7:53
46,370.89,370.89,0,0.7,2.61,60.1855,Cash,Full Paid,8/5/2018 8:01
47,1412.38,1412.38,0,5,74.34,133.574,Cash,Full Paid,8/5/2018 8:12
48,252.69,252.69,0,3,7.82,23.715,Cash,Full Paid,8/5/2018 8:15
49,148,148,0,0,0,17.27,Cash,Full Paid,8/5/2018 8:18
50,410.6,410.6,0,3,12.7,41.401,Cash,Full Paid,8/5/2018 8:20
51,45,45,0,0,0,6.75,Cash,Full Paid,8/5/2018 8:23
52,2228.07,2228.07,0,5,117.27,211.343,Cash,Full Paid,8/5/2018 8:28
53,159.08,159.08,4,3,4.92,15.75,Cash,Full Paid,8/5/2018 8:32
54,170,170,0,0,0,28.18,Cash,Full Paid,8/5/2018 8:36
55,301.84,300,1.84,2,6.16,32.94,Cash,Full Paid,8/5/2018 8:36
56,4382.92,4382.92,0,5,230.68,361.6,Cash,Full Paid,8/5/2018 8:36
57,952.22,952.22,0,2,19.43,144.927,Cash,Full Paid,8/5/2018 8:43
58,49.88,49.88,0,5,2.63,5.005,Cash,Full Paid,8/5/2018 8:44
59,619.83,619.83,0,3,19.17,62.83,Cash,Full Paid,8/5/2018 8:47
60,580.13,580.13,0,2.5,14.88,62.735,Cash,Full Paid,8/5/2018 8:48
61,339.25,339.25,0,5,17.86,32.205,Cash,Full Paid,8/5/2018 8:49
62,391.05,391.05,0,1,3.95,48.34,Cash,Full Paid,8/5/2018 8:53
63,308.35,308.35,0,5,16.23,25.371,Cash,Full Paid,8/5/2018 8:55
64,757.52,757.52,0,5,39.87,61.8805,Cash,Full Paid,8/5/2018 8:58
65,379.1,379.1,0,4,15.8,35.854,Cash,Full Paid,8/5/2018 9:00
66,115,115,0,0,0,15,Cash,Full Paid,8/5/2018 9:02
67,130,130,0,0,0,15.46,Cash,Full Paid,8/5/2018 9:02
68,578.6,578.6,0,5,30.45,44.0975,Cash,Full Paid,8/5/2018 9:05
